True_Label,Predicted_Label,Text
1,1,@UWCongress I'm getting an error on your email signup form on your website. Let me know if you technical help. I can volunteer.
1,1,"the password, but still its showing error login. This is driving me crazy. There are no camera drivers on the official website too. Disappointed overall with the service and support. Trying to reach you on @X hope you will be able to provide some support and help me. #msi #help"
0,0,Don't overpay on Amazon ever again! This Amazon shopping hack is like Prime Day on steroids.
1,1,"@dianilmi the URL and a screenshot of the website error, contact details (full name, contact number, email ID), and some more details via DM so we can look into this. (2/2) https://t.co/I8Mj90XLdq"
1,1,"Filling out an SF-85 for security clearances are such fucking bullshit...

Garbage ass govt websites will literally let you input all the information AND submit it only to kick out error codes to OTHER people who will then email you to tell you to fix what you can't see is broken"
1,1,"@caniminkendi the URL and a screenshot of the website error, contact details (full name, contact number, email ID), and some more details via DM so we can look into this. (2/2) https://t.co/I8Mj90XLdq"
1,1,@itsmegurlzz @peacherii_ Kakk kalo pesen di website kok error terus pas klik pesan tu kenapa ya?
0,0,"Want to study non-WEIRD people?🧐 

Check out Besample:
🔹quick online access to 42 countries🔹200,000 pre-screened research participants🔹affordable prices🔹advanced quality control🔹translation into local languages🔹"
1,1,"@QuickBoomerang @ATT @ATTHelp Thankfully service is back, but it requires you to go to a website that is a bad gateway error or call ATT direct."
1,1,"On the @NVSOS website, they have a Voters “Myths vs Facts” section. 🤡 

Then 2 days ago Democrat @CiscoAguilar posted how they “fixed” the error with Nevada’s “secure” mail-in voter fraud.

The fix is in. https://t.co/EAoV5COm0h"
1,1,"@VFSGlobal @vfsglobalcare maybe its time to hire new web developpers. The Morocco-Portugal website wont let you log in. Always same error ""mandatory field cannot be left blank"" althought i fill that field https://t.co/qCcyxwq8KO"
1,1,"@Staples I'm urgently trying to place a print order before noon so I can pick it up today, but your website checkout is broken. I just keep getting this error message. Please help! https://t.co/YwkursYBus"
1,1,@ASHEoffice Error message on the volunteer website
1,1,@vfsglobalcare @KV_KVS Same error happens to me st thr Morocco-Portugal website
1,1,"@suhag_ramesh Hi Ramesh, we want to make sure this is taken care of. Please DM https://t.co/3LgXqjCsdX us and confirm if the issue is faced at the same location which was earlier shared by you along with a prominent landmark &amp; name of any 2 apps/websites you faced error while (1/2)"
1,1,The error message on the wwe 2k24 website lmao https://t.co/4U7W2egvaL
0,1,"@ahumeniy @X @Starlink @elonmusk It’s weird because Starlink won’t allow me use a vpn. I’m in Panamá. I get an error message telling me to turn it off. 

Whenever I want to go to a USA website that blocks my location, I have to switch to phone data then use VPN 🤦🏼‍♀️"
0,0,"A man who sued #Powerball and the #DCLottery for their website #error that showed he had the #winning numbers, making him believe he would receive $340 million last year, will head for a #courthearing this week. #dc #lawsuit #powerballlawsuit #court
https://t.co/VpJUPBHIDv"
1,0,The website had an error https://t.co/njGXJrVwOa should be working now.
0,1,★ Posted today! Reactjs - Next.js Error: Invariant: page wasn't built - 2 answers Unlock your future at https://t.co/xtZHfu7C6u **** See it at https://t.co/TlyfLAXpmE ***** #programmers #codingisfun #codingislife #website #questionandanswer #questionoftheday|
0,0,"Gudrun er en af de 4500 danskere, der fra midten af 1940’ene og 40 år frem fik det hvide snit - det sidste blev udført i 1983. Behandlingen gjorde langt fra patienterne raske. Tværtimod. Bivirkningerne var omfattende og inkluderede epilepsi, inkontinens og tidlig demens."
1,1,"@_champagnezaddy i tried it, ana fatoora already bas 7ateet raseed just in case w bardo msh rady and i even tried on the spotify website and after like 7 times of error it went from this to this😭 https://t.co/doKPNnMd18"
1,1,"The Nevada Secretary of State is out with a new statement apologizing for the errors in online voter histories.

""No voter should ever look at the Secretary of State’s website and see inaccurate information. This was a technical error that should not have happened..."""
1,1,@KEA_karnataka @CMofKarnataka @drmcsudhakar Sir too much error in website please extend the dates please 🙏 https://t.co/PikJlR0ca8
1,1,@SBICard_Connect The fix from your team only lasted for 1 day and now again I am facing the same issue and cannot login to my account. Tried app as well as website but getting the same error.
1,1,@ATT @Crissa_Ace1 Any word on when cell service will be restored? Your website just says to use WiFi calling but when I try to enable that it requires an address but the link to input the address just gives a Bad Gateway error.
1,1,"@Forward_Light @rafael_pin49857 @DavidSMilton1 His website gives an error that it's dangerous and not to proceed, and he's got an ad on Twitter, so he is most likely a MAGAt."
1,1,"@MakeupFaded I understand the importance of having access to the app. Are you also receiving an error on https://t.co/78MpFFMAQz? If so, can you provide the full error and return code you receive on the website? 
-KC"
0,1,"@RiotJaker @gaurav011235 @WDepuk @VLRdotgg I took this from riot official website, there is also same kick off format in Pacific Kick Off Explanation. human error? https://t.co/IkY8IL9Fe5"
0,1,"updating our website's standard error page

brb https://t.co/YBQ1HPbti5"
1,1,"@HoverStatus Please update your status as webmail unavailable 22nd Feb (UK). Unable to log in, now receiving error message to say website unavailable."
1,1,@CTHouseDems the form on the contact page of your website does not work and returns a server error when I try to submit. Please fix ASAP and tell me how best to contact my reps in the meantime.
1,1,"Hello @ECISVEEP, I have found a bug in your website voter ID. I'm not able to add my email ID to my profile it is showing me an error after clicking on the save button. Please fix it ASAP. And send me rewards for it. #voterid #websitebug https://t.co/scQ2oPpSFh"
1,1,"@joincommonwlth The website is FULL of ISSUES. IF you ignore all browser warnings to visit the website, then 7/10 times you try to login it fails and you get an error. 
Fix your website first and then you can give us the 2,4 mil."
1,1,"@ATTHelp I run a business. iPhone stuck in SOS. Tried to switch to WiFi calling, getting an error on ATT website. NO BUENO!"
1,1,"@PlayHAWKED Been working with support but legit can’t even play the game, I can’t even access the website unless I turn off my WiFi, even hard wired on my consoles I can’t access your servers, I get the 3001 or 2000 error code. Like to play it but I guess I can’t."
1,1,@ShadowofEzra I tried to get on my health insurance website yesterday and I couldn't. It just kept throwing up an error message. That's very concerning.
1,1,"It appears we had an error in our setup for the Ballroom and Latin Silent Disco on Friday 15th March, in that you couldn't actually book it on our website 🤦‍♂️. 

This has now been rectified and it should now be possible to book. 

Any issues let us know 

https://t.co/2NyHyHRzdP https://t.co/GS1Fwj2Obs"
0,0,"What shareholders now want to hear from boards

Click the image to read the full article

Partner Content with @Workiva"
0,0,"Halo temen2 buka jasa melayani: 
- perbaikan source code/codingan error✅
- joki skripsi sistem informasi atau teknik informatika✅
- pembuatan website dari 0, bisa menggunakan banyak framework✅️
dll. 
cp https://t.co/9ubG3TfCeN  
#zonauang #joki #skripsi #tugas #mahasiswa https://t.co/OPIiMAg1Jt"
1,1,"It appears we had an error in our setup for the Ballroom and Latin Silent Disco on Friday 15th March, in that you couldn't actually book it on our website 🤦‍♂️. 

This has now been rectified and it should now be possible to book. 

Any issues let us know 

https://t.co/2NyHyHRzdP"
1,1,"@MyBGE, what is going on with your website?!?! I have been trying to start a service at a new location for over a week now, and your website keeps sending error messages. Whenever I try calling during office hours, your automated messages say your offices are closed!"
1,1,-Is Poppriceguide down for anyone else? Or just me? I went on the website and I keep getting an error.
0,0,"Steno Research is committed to delivering timely and actionable research, empowering you to stay ahead in a dynamic global landscape. With us, it’s about gaining a strategic edge for informed decision-making in the ever-evolving market.📈"
0,0,"What if when news organizations publish false information due to failure to conduct simple research or by printing speculation as fact (as opposed to genuine error such as a misspelled name), they were required to have their websites and social media accounts go dark and they…"
0,0,"Beauty store
user-friendly website design

#wordpress #websitedesign #webdevelopment #webdesigner #websitedeveloper #webdevelopers #elementor #elementorpro #elementorexpert #webdesign #elementorwebsite #error #errors #bugfixing https://t.co/M6krDyHDoe"
1,1,@flyPAL What is this?  I've been trying to book my flight and keep getting this error even though the flights are showing available on your website. https://t.co/XqmMToR467
