Predicted_Label,Text
"(""@UWCongress I'm getting an error on your email signup form on your website. Let me know if you technical help. I can volunteer."", '1')",@UWCongress I'm getting an error on your email signup form on your website. Let me know if you technical help. I can volunteer.
"('the password, but still its showing error login. This is driving me crazy. There are no camera drivers on the official website too. Disappointed overall with the service and support. Trying to reach you on @X hope you will be able to provide some support and help me. #msi #help', '1')","the password, but still its showing error login. This is driving me crazy. There are no camera drivers on the official website too. Disappointed overall with the service and support. Trying to reach you on @X hope you will be able to provide some support and help me. #msi #help"
"(""Don't overpay on Amazon ever again! This Amazon shopping hack is like Prime Day on steroids."", '0')",Don't overpay on Amazon ever again! This Amazon shopping hack is like Prime Day on steroids.
"('@dianilmi the URL and a screenshot of the website error, contact details (full name, contact number, email ID), and some more details via DM so we can look into this. (2/2) https://t.co/I8Mj90XLdq', '1')","@dianilmi the URL and a screenshot of the website error, contact details (full name, contact number, email ID), and some more details via DM so we can look into this. (2/2) https://t.co/I8Mj90XLdq"
"(""Filling out an SF-85 for security clearances are such fucking bullshit...\n\nGarbage ass govt websites will literally let you input all the information AND submit it only to kick out error codes to OTHER people who will then email you to tell you to fix what you can't see is broken"", '1')","Filling out an SF-85 for security clearances are such fucking bullshit...

Garbage ass govt websites will literally let you input all the information AND submit it only to kick out error codes to OTHER people who will then email you to tell you to fix what you can't see is broken"
"('@caniminkendi the URL and a screenshot of the website error, contact details (full name, contact number, email ID), and some more details via DM so we can look into this. (2/2) https://t.co/I8Mj90XLdq', '1')","@caniminkendi the URL and a screenshot of the website error, contact details (full name, contact number, email ID), and some more details via DM so we can look into this. (2/2) https://t.co/I8Mj90XLdq"
"('@itsmegurlzz @peacherii_ Kakk kalo pesen di website kok error terus pas klik pesan tu kenapa ya?', '1')",@itsmegurlzz @peacherii_ Kakk kalo pesen di website kok error terus pas klik pesan tu kenapa ya?
"('Want to study non-WEIRD people?🧐 \n\nCheck out Besample:\n🔹quick online access to 42 countries🔹200,000 pre-screened research participants🔹affordable prices🔹advanced quality control🔹translation into local languages🔹', '0')","Want to study non-WEIRD people?🧐 

Check out Besample:
🔹quick online access to 42 countries🔹200,000 pre-screened research participants🔹affordable prices🔹advanced quality control🔹translation into local languages🔹"
"('@QuickBoomerang @ATT @ATTHelp Thankfully service is back, but it requires you to go to a website that is a bad gateway error or call ATT direct.', '1')","@QuickBoomerang @ATT @ATTHelp Thankfully service is back, but it requires you to go to a website that is a bad gateway error or call ATT direct."
"('On the @NVSOS website, they have a Voters “Myths vs Facts” section. 🤡 \n\nThen 2 days ago Democrat @CiscoAguilar posted how they “fixed” the error with Nevada’s “secure” mail-in voter fraud.\n\nThe fix is in. https://t.co/EAoV5COm0h', '1')","On the @NVSOS website, they have a Voters “Myths vs Facts” section. 🤡 

Then 2 days ago Democrat @CiscoAguilar posted how they “fixed” the error with Nevada’s “secure” mail-in voter fraud.

The fix is in. https://t.co/EAoV5COm0h"
"('@VFSGlobal @vfsglobalcare maybe its time to hire new web developpers. The Morocco-Portugal website wont let you log in. Always same error ""mandatory field cannot be left blank"" althought i fill that field https://t.co/qCcyxwq8KO', '1')","@VFSGlobal @vfsglobalcare maybe its time to hire new web developpers. The Morocco-Portugal website wont let you log in. Always same error ""mandatory field cannot be left blank"" althought i fill that field https://t.co/qCcyxwq8KO"
"(""@Staples I'm urgently trying to place a print order before noon so I can pick it up today, but your website checkout is broken. I just keep getting this error message. Please help! https://t.co/YwkursYBus"", '1')","@Staples I'm urgently trying to place a print order before noon so I can pick it up today, but your website checkout is broken. I just keep getting this error message. Please help! https://t.co/YwkursYBus"
"('@ASHEoffice Error message on the volunteer website', '1')",@ASHEoffice Error message on the volunteer website
"('@vfsglobalcare @KV_KVS Same error happens to me st thr Morocco-Portugal website', '1')",@vfsglobalcare @KV_KVS Same error happens to me st thr Morocco-Portugal website
"('@suhag_ramesh Hi Ramesh, we want to make sure this is taken care of. Please DM https://t.co/3LgXqjCsdX us and confirm if the issue is faced at the same location which was earlier shared by you along with a prominent landmark &amp; name of any 2 apps/websites you faced error while (1/2)', '1')","@suhag_ramesh Hi Ramesh, we want to make sure this is taken care of. Please DM https://t.co/3LgXqjCsdX us and confirm if the issue is faced at the same location which was earlier shared by you along with a prominent landmark &amp; name of any 2 apps/websites you faced error while (1/2)"
"('The error message on the wwe 2k24 website lmao https://t.co/4U7W2egvaL', '1')",The error message on the wwe 2k24 website lmao https://t.co/4U7W2egvaL
"('@ahumeniy @X @Starlink @elonmusk It’s weird because Starlink won’t allow me use a vpn. I’m in Panamá. I get an error message telling me to turn it off. \n\nWhenever I want to go to a USA website that blocks my location, I have to switch to phone data then use VPN 🤦🏼\u200d♀️', '1')","@ahumeniy @X @Starlink @elonmusk It’s weird because Starlink won’t allow me use a vpn. I’m in Panamá. I get an error message telling me to turn it off. 

Whenever I want to go to a USA website that blocks my location, I have to switch to phone data then use VPN 🤦🏼‍♀️"
"('A man who sued #Powerball and the #DCLottery for their website #error that showed he had the #winning numbers, making him believe he would receive $340 million last year, will head for a #courthearing this week. #dc #lawsuit #powerballlawsuit #court\nhttps://t.co/VpJUPBHIDv', '0')","A man who sued #Powerball and the #DCLottery for their website #error that showed he had the #winning numbers, making him believe he would receive $340 million last year, will head for a #courthearing this week. #dc #lawsuit #powerballlawsuit #court
https://t.co/VpJUPBHIDv"
"('The website had an error https://t.co/njGXJrVwOa should be working now.', '0')",The website had an error https://t.co/njGXJrVwOa should be working now.
